zip,county,state
25149,BOONE,WV
25152,FAYETTE,WV
25154,BOONE,WV
25156,KANAWHA,WV
25159,PUTNAM,WV
25159,PUTNAM,WV
25160,KANAWHA,WV
25160,KANAWHA,WV
25161,FAYETTE,WV
25162,KANAWHA,WV
25164,CLAY,WV
25164,CLAY,WV
25164,CLAY,WV
25165,BOONE,WV
25168,PUTNAM,WV
25169,BOONE,WV
25173,FAYETTE,WV
25173,FAYETTE,WV
25174,RALEIGH,WV
25177,KANAWHA,WV
25177,KANAWHA,WV
25180,RALEIGH,WV
25181,BOONE,WV
25181,BOONE,WV
25181,BOONE,WV
25183,LOGAN,WV
25185,FAYETTE,WV
25185,FAYETTE,WV
25186,FAYETTE,WV
25186,FAYETTE,WV
25187,MASON,WV
25193,BOONE,WV
25201,KANAWHA,WV
25202,KANAWHA,WV
25202,KANAWHA,WV
25203,BOONE,WV
25204,BOONE,WV
25204,BOONE,WV
25205,BOONE,WV
25206,BOONE,WV
25208,BOONE,WV
25208,BOONE,WV
25208,BOONE,WV
25209,BOONE,WV
25209,BOONE,WV
25209,BOONE,WV
25209,BOONE,WV
25211,CLAY,WV
25213,PUTNAM,WV
25214,KANAWHA,WV
25231,JACKSON,WV
25234,CALHOUN,WV
25234,CALHOUN,WV
25235,CALHOUN,WV
25235,CALHOUN,WV
25239,JACKSON,WV
25241,JACKSON,WV
25243,ROANE,WV
25243,ROANE,WV
25244,JACKSON,WV
25245,JACKSON,WV
25245,JACKSON,WV
25247,MASON,WV
25247,MASON,WV
25248,JACKSON,WV
25248,JACKSON,WV
25248,JACKSON,WV
25251,ROANE,WV
25252,JACKSON,WV
25252,JACKSON,WV
25252,JACKSON,WV
25253,MASON,WV
25259,ROANE,WV
25259,ROANE,WV
25259,ROANE,WV
25260,MASON,WV
25260,MASON,WV
25261,CALHOUN,WV
25262,JACKSON,WV
25264,MASON,WV
25265,MASON,WV
25266,ROANE,WV
25266,ROANE,WV
25267,GILMER,WV
25267,GILMER,WV
25267,GILMER,WV
25267,GILMER,WV
25268,CALHOUN,WV
25268,CALHOUN,WV
25270,ROANE,WV
25271,JACKSON,WV
25271,JACKSON,WV
25271,JACKSON,WV
25275,JACKSON,WV
25276,ROANE,WV
25285,CLAY,WV
25285,CLAY,WV
25286,ROANE,WV
25287,MASON,WV
25287,MASON,WV
25301,KANAWHA,WV
25302,KANAWHA,WV
25302,KANAWHA,WV
25303,KANAWHA,WV
25303,KANAWHA,WV
25303,KANAWHA,WV
25304,KANAWHA,WV
25304,KANAWHA,WV
25305,KANAWHA,WV
25306,KANAWHA,WV
25306,KANAWHA,WV
25309,KANAWHA,WV
25309,KANAWHA,WV
25309,KANAWHA,WV
25311,KANAWHA,WV
25312,KANAWHA,WV
25313,KANAWHA,WV
25313,KANAWHA,WV
25314,KANAWHA,WV
25315,KANAWHA,WV
25315,KANAWHA,WV
25315,KANAWHA,WV
25317,KANAWHA,WV
25317,KANAWHA,WV
25320,KANAWHA,WV
25320,KANAWHA,WV
25321,KANAWHA,WV
25322,KANAWHA,WV
25323,KANAWHA,WV
25324,KANAWHA,WV
25325,KANAWHA,WV
25326,KANAWHA,WV
25327,KANAWHA,WV
25328,KANAWHA,WV
25329,KANAWHA,WV
25330,KANAWHA,WV
25331,KANAWHA,WV
25332,KANAWHA,WV
25333,KANAWHA,WV
25334,KANAWHA,WV
25335,KANAWHA,WV
25336,KANAWHA,WV
25337,KANAWHA,WV
25338,KANAWHA,WV
25339,KANAWHA,WV
25350,KANAWHA,WV
25356,KANAWHA,WV
25357,KANAWHA,WV
25358,KANAWHA,WV
25360,KANAWHA,WV
25361,KANAWHA,WV
25362,KANAWHA,WV
25364,KANAWHA,WV
25365,KANAWHA,WV
25375,KANAWHA,WV
25387,KANAWHA,WV
25389,KANAWHA,WV
25392,KANAWHA,WV
25392,KANAWHA,WV
25396,KANAWHA,WV
25396,KANAWHA,WV
25401,BERKELEY,WV
25402,BERKELEY,WV
25403,BERKELEY,WV
25404,BERKELEY,WV
25405,BERKELEY,WV
25410,JEFFERSON,WV
25411,MORGAN,WV
25411,MORGAN,WV
25411,MORGAN,WV
25411,MORGAN,WV
25413,BERKELEY,WV
25414,JEFFERSON,WV
25419,BERKELEY,WV
25419,BERKELEY,WV
25420,BERKELEY,WV
25421,BERKELEY,WV
25422,MORGAN,WV
25423,JEFFERSON,WV
25425,JEFFERSON,WV
25425,JEFFERSON,WV
25427,BERKELEY,WV
25427,BERKELEY,WV
25427,BERKELEY,WV
25428,BERKELEY,WV
25430,JEFFERSON,WV
25430,JEFFERSON,WV
25431,HAMPSHIRE,WV
25432,JEFFERSON,WV
25434,MORGAN,WV
